bank_account_no,scam_msg_time,first_pay_time,amount,label
acct_0,2/9/2025 16:00,2/9/2025 19:15,120.60943415950887,0
acct_1,2/14/2025 17:45,2/25/2025 8:49,257.920031787519,1
acct_2,2/18/2025 15:30,2/22/2025 8:21,18.500902391612914,0
acct_3,2/21/2025 11:50,2/19/2025 11:26,25.881129432782426,0
acct_4,2/25/2025 14:20,2/13/2025 9:27,15.097929622692327,1
acct_5,2/10/2025 7:30,2/10/2025 7:36,19.395640986275364,1
acct_6,2/18/2025 15:30,2/22/2025 8:21,17.25568080633457,0
acct_7,2/11/2025 20:10,2/11/2025 21:05,88.36751481531283,0
acct_8,2/9/2025 16:00,2/9/2025 19:15,119.96639768499142,0
acct_9,2/22/2025 17:40,2/18/2025 8:06,308.29391214485287,1
acct_10,2/15/2025 12:40,2/24/2025 10:01,24.758795949725656,0
acct_11,2/25/2025 14:20,2/13/2025 9:27,20.555583870857898,1
acct_12,2/25/2025 14:20,2/13/2025 9:27,19.13206139512243,1
acct_13,2/25/2025 14:20,2/13/2025 9:27,21.254482413936067,1
acct_14,2/24/2025 16:25,2/15/2025 8:16,210.9350186845041,1
acct_15,2/11/2025 20:10,2/11/2025 21:05,87.28141507423352,0
acct_16,2/6/2025 8:45,2/6/2025 8:49,15.737501568164998,1
acct_17,2/10/2025 7:30,2/10/2025 7:36,20.082234798342004,1
acct_18,2/24/2025 16:25,2/15/2025 8:16,211.75690060261454,1
acct_19,2/5/2025 14:10,2/5/2025 14:55,49.90014817802749,0
acct_20,2/12/2025 15:00,2/12/2025 15:11,24.63027527290948,0
acct_21,2/11/2025 20:10,2/11/2025 21:05,87.63814091119212,0
acct_22,2/3/2025 9:30,2/3/2025 9:38,22.44508267734806,1
acct_23,2/24/2025 16:25,2/15/2025 8:16,209.6909410358624,1
acct_24,2/24/2025 16:25,2/15/2025 8:16,209.14334435567378,1
acct_25,2/17/2025 19:00,2/23/2025 10:42,94.29573289902353,1
acct_26,2/8/2025 18:20,2/8/2025 18:24,19.064618371106697,1
acct_27,2/3/2025 9:30,2/3/2025 9:38,20.730888128728157,1
acct_28,2/14/2025 17:45,2/25/2025 8:49,260.825465223192,1
acct_29,2/20/2025 13:10,2/21/2025 9:08,140.86164200601576,1
acct_30,2/11/2025 20:10,2/11/2025 21:05,93.28329520174093,0
acct_31,2/1/2025 10:00,2/1/2025 10:12,34.187169967230766,1
acct_32,2/24/2025 16:25,2/15/2025 8:16,208.97551454185694,1
acct_33,2/22/2025 17:40,2/18/2025 8:06,308.37245454350426,1
acct_34,2/12/2025 15:00,2/12/2025 15:11,26.23195884515099,0
acct_35,2/18/2025 15:30,2/22/2025 8:21,19.257944585441784,0
acct_36,2/24/2025 16:25,2/15/2025 8:16,209.77210508469025,1
acct_37,2/23/2025 13:30,2/16/2025 10:57,26.319687046074943,0
acct_38,2/18/2025 15:30,2/22/2025 8:21,15.351037568617521,0
acct_39,2/21/2025 11:50,2/19/2025 11:26,25.301185575649402,0
acct_40,2/21/2025 11:50,2/19/2025 11:26,25.486508342406886,0
acct_41,2/15/2025 12:40,2/24/2025 10:01,24.08630853661039,0
acct_42,2/12/2025 15:00,2/12/2025 15:11,23.668980585422613,0
acct_43,2/14/2025 17:45,2/25/2025 8:49,260.46432264613344,1
acct_44,2/20/2025 13:10,2/21/2025 9:08,140.23337161828147,1
acct_45,2/20/2025 13:10,2/21/2025 9:08,140.43737719345802,1
acct_46,2/20/2025 13:10,2/21/2025 9:08,141.7428575558964,1
acct_47,2/21/2025 11:50,2/19/2025 11:26,24.447191097549364,0
acct_48,2/17/2025 19:00,2/23/2025 10:42,96.35782712614379,1
acct_49,2/17/2025 19:00,2/23/2025 10:42,95.13515813897779,1
acct_50,2/21/2025 11:50,2/19/2025 11:26,24.578238797379967,0
acct_51,2/17/2025 19:00,2/23/2025 10:42,96.26257645167708,1
acct_52,2/15/2025 12:40,2/24/2025 10:01,20.085688360288668,0
acct_53,2/24/2025 16:25,2/15/2025 8:16,209.3606575672854,1
acct_54,2/25/2025 14:20,2/13/2025 9:27,18.05925469141441,1
acct_55,2/14/2025 17:45,2/25/2025 8:49,258.7222443035133,1
acct_56,2/14/2025 17:45,2/25/2025 8:49,259.4497154975466,1
acct_57,2/23/2025 13:30,2/16/2025 10:57,30.98988262246879,0
acct_58,2/5/2025 14:10,2/5/2025 14:55,48.26833776861351,0
acct_59,2/7/2025 11:00,2/7/2025 12:10,73.93655670918297,0
acct_60,2/15/2025 12:40,2/24/2025 10:01,19.63426045676839,0
acct_61,2/9/2025 16:00,2/9/2025 19:15,119.33022994002845,0
acct_62,2/11/2025 20:10,2/11/2025 21:05,89.32550613021002,0
acct_63,2/11/2025 20:10,2/11/2025 21:05,90.17244466271856,0
acct_64,2/9/2025 16:00,2/9/2025 19:15,121.42245315958571,0
acct_65,2/17/2025 19:00,2/23/2025 10:42,96.58669447039985,1
acct_66,2/6/2025 8:45,2/6/2025 8:49,14.302549855503125,1
acct_67,2/23/2025 13:30,2/16/2025 10:57,27.075296414670866,0
acct_68,2/20/2025 13:10,2/21/2025 9:08,141.7159517625143,1
acct_69,2/22/2025 17:40,2/18/2025 8:06,309.61739135023674,1
acct_70,2/17/2025 19:00,2/23/2025 10:42,92.44862735332416,1
acct_71,2/22/2025 17:40,2/18/2025 8:06,307.73342557199305,1
acct_72,2/11/2025 20:10,2/11/2025 21:05,87.16109542799678,0
acct_73,2/22/2025 17:40,2/18/2025 8:06,310.9943214881075,1
acct_74,2/11/2025 20:10,2/11/2025 21:05,89.28485147214113,0
acct_75,2/3/2025 9:30,2/3/2025 9:38,21.380970708135536,1
acct_76,2/14/2025 17:45,2/25/2025 8:49,259.1454947073269,1
acct_77,2/20/2025 13:10,2/21/2025 9:08,140.31707938215342,1
acct_78,2/21/2025 11:50,2/19/2025 11:26,25.251180787934672,0
acct_79,2/20/2025 13:10,2/21/2025 9:08,139.38130692055952,1
acct_80,2/9/2025 16:00,2/9/2025 19:15,120.91355047511482,0
acct_81,2/24/2025 16:25,2/15/2025 8:16,208.6761481178667,1
acct_82,2/18/2025 15:30,2/22/2025 8:21,16.273892306869858,0
acct_83,2/10/2025 7:30,2/10/2025 7:36,21.236524212003342,1
acct_84,2/21/2025 11:50,2/19/2025 11:26,21.60832070882192,0
acct_85,2/5/2025 14:10,2/5/2025 14:55,50.97394496157116,0
acct_86,2/22/2025 17:40,2/18/2025 8:06,309.06119531959456,1
acct_87,2/18/2025 15:30,2/22/2025 8:21,17.024988237455375,0
acct_88,2/6/2025 8:45,2/6/2025 8:49,15.961493317811819,1
acct_89,2/17/2025 19:00,2/23/2025 10:42,95.89306235205989,1
acct_90,2/10/2025 7:30,2/10/2025 7:36,23.330770217945574,1
acct_91,2/6/2025 8:45,2/6/2025 8:49,14.803029030981152,1
acct_92,2/3/2025 9:30,2/3/2025 9:38,19.153403375911694,1
acct_93,2/17/2025 19:00,2/23/2025 10:42,94.8405635781872,1
acct_94,2/8/2025 18:20,2/8/2025 18:24,14.62533113208394,1
acct_95,2/12/2025 15:00,2/12/2025 15:11,22.105775055153824,0
acct_96,2/12/2025 15:00,2/12/2025 15:11,22.354600775291196,0
acct_97,2/6/2025 8:45,2/6/2025 8:49,13.005506344797036,1
acct_98,2/12/2025 15:00,2/12/2025 15:11,25.799548453446874,0
acct_99,2/18/2025 15:30,2/22/2025 8:21,15.189041889279878,0
acct_100,2/15/2025 12:40,2/24/2025 10:01,22.24367489192122,0
acct_101,2/17/2025 19:00,2/23/2025 10:42,97.59845659557213,1
acct_102,2/22/2025 17:40,2/18/2025 8:06,309.28747205787715,1
acct_103,2/24/2025 16:25,2/15/2025 8:16,211.47503113693418,1
acct_104,2/3/2025 9:30,2/3/2025 9:38,18.132764639980245,1
acct_105,2/12/2025 15:00,2/12/2025 15:11,24.58912488426474,0
acct_106,2/17/2025 19:00,2/23/2025 10:42,93.09995589017883,1
acct_107,2/6/2025 8:45,2/6/2025 8:49,14.321933848198874,1
acct_108,2/22/2025 17:40,2/18/2025 8:06,311.68061627491477,1
